City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date - Time Reported
Laurel,US,31.69,75.2,94,90,9.17,07/13/2019 - 09:31 AM
Port Alfred,ZA,-33.59,64.99,81,0,1.99,07/13/2019 - 09:26 AM
Grand Gaube,MU,-20.01,73.4,53,75,10.29,07/13/2019 - 09:26 AM
Ushuaia,AR,-54.81,41,86,75,3.36,07/13/2019 - 09:20 AM
Puerto Ayora,EC,-0.74,69.8,83,20,2.24,07/13/2019 - 09:25 AM
Bredasdorp,ZA,-34.53,68,60,4,8.05,07/13/2019 - 09:25 AM
Bethel,US,60.79,55.4,100,90,2.3,07/13/2019 - 09:25 AM
Busselton,AU,-33.64,46.99,58,1,18.25,07/13/2019 - 09:25 AM
Carauari,BR,-4.88,86.5,56,40,3.6,07/13/2019 - 09:31 AM
Vardo,NO,70.37,53.6,58,75,16.11,07/13/2019 - 09:26 AM
Saint-Joseph,RE,-21.37,73.4,49,90,8.05,07/13/2019 - 09:31 AM
Rikitea,PF,-23.12,74.03,85,1,14.38,07/13/2019 - 09:25 AM
Ulladulla,AU,-35.36,48.99,58,0,18.34,07/13/2019 - 09:31 AM
Paris,US,36.3,82,88,90,5.17,07/13/2019 - 09:31 AM
Tecoanapa,MX,16.99,78.8,78,90,3.36,07/13/2019 - 09:31 AM
San Patricio,MX,19.22,80.6,83,75,3.8,07/13/2019 - 09:27 AM
Khatanga,RU,71.98,56.03,58,100,5.79,07/13/2019 - 09:25 AM
Daru,PG,-9.07,72.82,90,100,8.08,07/13/2019 - 09:31 AM
Presidencia Roque Saenz Pena,AR,-26.79,62.69,94,100,7.05,07/13/2019 - 09:28 AM
Souillac,MU,-20.52,73.4,53,75,10.29,07/13/2019 - 09:25 AM
Manokwari,ID,-0.87,72.28,62,100,6.29,07/13/2019 - 09:31 AM
Punta Arenas,CL,-53.16,39.2,100,90,14.99,07/13/2019 - 09:25 AM
Atuona,PF,-9.8,79.07,81,61,13.96,07/13/2019 - 09:25 AM
Sayyan,YE,15.17,87.53,28,64,11.48,07/13/2019 - 09:28 AM
Cape Town,ZA,-33.93,66.99,52,0,3.36,07/13/2019 - 09:22 AM
