hunger,lat,lon
18,40.750742,-73.996530
27,40.717040,-73.987000
7,40.732509,-73.989350
4,40.699226,-74.041180
11,40.706019,-74.008580
5,40.707904,-74.013420
3,40.714754,-74.007210
23,40.727093,-73.978640
11,40.739022,-73.982050
11,40.741012,-74.000120
11,40.725960,-73.998340
11,40.720666,-74.005260
7,40.734718,-74.005320
10,40.746180,-73.977590
7,40.752159,-73.972310
14,40.755101,-73.993370
12,40.765714,-73.985600
5,40.768420,-73.960450
4,40.759015,-73.967320
8,40.776099,-73.982850
7,40.786387,-73.977090
15,40.798502,-73.968110
26,40.802853,-73.954710
26,40.812665,-73.954990
5,40.776777,-73.954100
31,40.791586,-73.945750
29,40.818151,-73.943510
23,40.826201,-73.948790
25,40.840686,-73.941540
22,40.848764,-73.934960
23,40.867653,-73.920000
38,40.802395,-73.933590
14,40.759511,-73.990190
29,40.813385,-73.936160
17,40.709677,-74.003650
30,40.826181,-73.937100
22,40.858704,-73.928530
12,40.762174,-73.949170
10,40.775477,-73.990500
7,40.781894,-73.950390
0,40.769334,-73.948930
4,40.707467,-74.017800
6,40.717179,-74.014330
22,40.631775,-74.094320
20,40.631127,-74.137150
27,40.629448,-74.162390
20,40.607870,-74.089910
13,40.599021,-74.075030
9,40.569394,-74.117850
7,40.508274,-74.243870
6,40.551353,-74.150980
8,40.529749,-74.213040
18,40.632120,-74.115510
6,40.543117,-74.176280
9,40.606337,-74.145130
35,40.819729,-73.922300
38,40.838745,-73.922340
41,40.853017,-73.912140
46,40.805968,-73.916280
41,40.815559,-73.907710
40,40.829676,-73.908560
37,40.846745,-73.898610
35,40.864166,-73.888810
37,40.825432,-73.893270
37,40.840950,-73.880360
15,40.842917,-73.838190
20,40.842173,-73.858620
16,40.881086,-73.907490
9,40.857017,-73.789030
12,40.825727,-73.817520
19,40.890950,-73.847020
29,40.872265,-73.869370
32,40.867107,-73.899160
14,40.868643,-73.847350
13,40.900629,-73.860720
9,40.900819,-73.903470
34,40.830409,-73.868450
28,40.818514,-73.858930
39,40.813210,-73.887550
10,40.878522,-73.825410
1,41.289939,-73.764930
2,41.011324,-73.841520
9,41.024855,-73.875130
2,41.129908,-73.703520
2,41.334310,-73.749244
3,41.195778,-73.627770
9,41.236931,-73.690180
4,41.413620,-73.595560
2,41.146297,-73.833110
7,41.260283,-73.940330
5,41.444833,-73.684500
1,41.167455,-73.775970
4,41.440695,-73.931400
0,41.300561,-73.861217
9,41.269072,-73.604930
2,41.345980,-73.661990
4,41.215541,-73.885430
3,41.012729,-73.866020
10,41.057089,-73.816580
7,41.363063,-73.921540
4,41.294561,-73.667010
1,41.319026,-73.757600
7,40.972667,-73.718860
6,41.025114,-73.806350
4,41.103664,-73.795800
5,41.039005,-73.863500
0,41.331173,-73.802080
2,41.265478,-73.685120
5,41.337335,-73.886890
3,40.933089,-73.756150
3,41.372419,-73.753670
7,40.952892,-73.734600
63,41.119008,-73.732996
0,41.199502,-73.792690
6,41.314676,-73.851180
9,41.248359,-73.941470
7,41.204027,-73.730450
18,40.907607,-73.837090
10,40.924195,-73.826140
12,40.909288,-73.821500
5,41.327970,-73.613060
9,41.176837,-73.847410
13,41.288258,-73.919280
5,41.300813,-73.890800
2,41.132367,-73.789220
11,41.010376,-73.673260
1,41.212954,-73.584090
5,41.037203,-73.715880
4,41.325200,-73.669060
4,41.390356,-73.837700
3,40.976579,-73.690020
4,40.988450,-73.797160
8,41.330178,-73.829730
3,41.331587,-73.692340
4,41.256639,-73.540760
10,41.080196,-73.857210
3,41.120025,-73.776870
11,41.083848,-73.777850
3,41.254823,-73.958727
0,41.289162,-73.588340
3,41.296874,-73.789340
21,41.032489,-73.764540
6,41.053182,-73.776720
8,41.045387,-73.744510
8,41.010020,-73.751580
10,41.024107,-73.778080
4,41.041191,-73.809530
25,40.943525,-73.881760
17,40.956546,-73.879900
7,40.920273,-73.861200
22,40.917281,-73.891420
4,40.992084,-73.872900
4,40.958689,-73.823630
4,40.939049,-73.830990
2,40.953849,-73.811430
8,40.965550,-73.845060
15,40.915845,-73.786430
4,40.902221,-73.807170
2,40.946805,-73.787970
9,40.897783,-73.779330
6,41.125695,-74.126820
0,41.386195,-74.125718
2,41.062779,-73.960160
0,41.464867,-74.255646
0,41.555634,-74.328805
7,41.451074,-74.243460
9,41.322344,-74.123540
6,41.356480,-74.260720
5,41.525781,-74.379070
8,41.149245,-73.942870
3,41.332519,-74.359310
4,41.334557,-73.991750
11,41.204544,-74.001610
6,41.389280,-74.333700
7,41.211794,-74.297780
9,41.299334,-74.140490
16,41.196044,-73.968360
4,41.360336,-73.972930
6,41.358050,-74.120960
11,41.126395,-74.167180
25,41.485227,-74.484249
9,41.365286,-74.510918
15,41.449364,-74.439510
8,41.478028,-74.358440
25,41.323547,-74.195310
34,41.116162,-74.075560
0,41.409284,-74.083045
7,41.100182,-74.013300
4,41.145495,-73.994900
2,41.384738,-74.415710
10,41.089746,-73.925800
6,41.047996,-73.962150
10,41.475197,-74.538470
8,41.011464,-73.925850
6,41.063329,-74.017340
5,41.040623,-73.918780
2,41.295568,-74.489350
6,41.192394,-74.045230
3,41.391172,-74.477580
5,41.156095,-74.192140
0,41.246428,-74.171410
11,41.028647,-73.928170
26,41.116795,-74.045040
0,41.182344,-74.318354
7,41.231408,-74.011570
3,41.025897,-73.951180
3,41.208327,-74.021050
6,41.580793,-74.374510
4,41.271543,-73.986760
3,41.197123,-74.210690
3,41.314931,-74.550346
2,41.119788,-73.944550
4,41.259896,-74.358370
5,41.428269,-74.161780
11,41.207594,-73.977720
4,41.097529,-73.969960
1,41.376109,-73.978800
5,41.334034,-74.545930
3,40.723200,-73.704750
8,40.700529,-73.702230
6,40.742944,-73.709560
12,40.756983,-73.714800
4,40.701702,-73.675620
3,40.771082,-73.718190
7,40.787068,-73.725770
5,40.798839,-73.733520
4,40.812887,-73.740940
3,40.796752,-73.689350
4,40.742901,-73.678950
0,40.760128,-73.693790
5,40.833246,-73.693090
17,40.618206,-73.747620
18,40.745341,-73.939070
18,40.771286,-73.924620
13,40.762968,-73.910910
13,40.743796,-73.919490
10,40.774686,-73.908160
16,40.762012,-73.931470
7,40.651378,-73.870779
13,40.695286,-73.989070
17,40.649059,-73.933040
23,40.618944,-73.984730
29,40.694214,-73.965290
36,40.702348,-73.942880
29,40.670874,-73.894240
27,40.672666,-73.872480
13,40.623270,-74.029500
13,40.627946,-73.945520
26,40.712090,-73.954270
36,40.662191,-73.913280
24,40.670937,-73.934590
17,40.598994,-73.996110
7,40.667508,-73.985600
19,40.680398,-73.948240
14,40.682090,-73.977830
22,40.644552,-73.975950
